video_id,comment_text
v6,Can you show a weekend version?
v6,This feels realistic and doable.
v6,I have a question about this.
v6,The intro is too long.
v6,This inspired me a lot.
v6,I wish you showed more detail.
v6,Not practical for most people.
v6,This looks expensive.
v6,The intro is too long.
v6,This looks expensive.
v7,Can you share more details?
v7,This motivates me to improve my routine.
v7,How long does this take?
v7,This feels realistic and doable.
v7,Can you share more details?
v7,I expected more explanation.
v7,This seems unrealistic.
v7,This inspired me a lot.
v7,Your structure is very clear.
v7,This inspired me a lot.
v7,I have a question about this.
v7,Can you share more details?
v7,This is actually very relatable.
v7,Your structure is very clear.
v7,Please make a part two.
v7,How long does this take?
v7,I like how simple you keep things.
v7,Can you link the products?
v7,Can you link the products?
v7,I have a question about this.
v7,This is actually very relatable.
v7,This feels realistic and doable.
v7,The pacing is perfect.
v7,This feels realistic and doable.
v7,More content like this please.
v7,Can you show a weekend version?
v7,This looks expensive.
v7,What time do you usually start?
v7,This feels too sponsored.
v7,Can you show a weekend version?
v7,More content like this please.
v7,This is actually very relatable.
v7,This is actually very relatable.
v7,You could go deeper into this.
v7,This is actually very relatable.
v7,Do you have a template?
v7,Your structure is very clear.
v7,This feels too sponsored.
v7,Your editing style is so calming.
v7,I like how simple you keep things.
v7,Your editing style is so calming.
v7,I wish you showed more detail.
v7,Can you show a weekend version?
v7,More content like this please.
v7,What camera do you use?
v7,The pacing is perfect.
v7,This feels too sponsored.
v7,This is actually very relatable.
v7,Please make a part two.
v7,Do you have a template?
v8,The pacing is perfect.
v8,Your structure is very clear.
v8,Can you share more details?
v8,It feels repetitive.
v8,I appreciate the honesty here.
v8,Can you link the products?
v8,You could go deeper into this.
v8,This is actually very relatable.
v8,Do you have a template?
v8,Your editing style is so calming.
v8,I like how simple you keep things.
v8,You could go deeper into this.
v8,Your editing style is so calming.
v8,This looks expensive.
v8,Please make a part two.
v8,This is actually very relatable.
v8,I wish you showed more detail.
v8,This is actually very relatable.
v8,I appreciate the honesty here.
v8,The pacing is perfect.
v8,This feels realistic and doable.
v8,What camera do you use?
v8,The pacing is perfect.
v8,The pacing is perfect.
v8,This is actually very relatable.
v8,This seems unrealistic.
v8,It feels repetitive.
v8,The intro is too long.
v8,Your structure is very clear.
v8,This feels realistic and doable.
v8,I have a question about this.
v8,Do you have a template?
v8,What time do you usually start?
v8,Can you share more details?
v8,I appreciate the honesty here.
v8,The intro is too long.
v8,This feels realistic and doable.
v8,Your structure is very clear.
v8,Your structure is very clear.
v8,Too many ads lately.
v8,How long does this take?
v8,Can you show a weekend version?
v8,I expected more explanation.
v8,I like how simple you keep things.
v8,More content like this please.
v8,What camera do you use?
v8,Your editing style is so calming.
v8,The pacing is perfect.
v8,How long does this take?
v8,I wish you showed more detail.
v9,The intro is too long.
v9,The pacing is perfect.
v9,I love how authentic this feels.
v9,Do you have a template?
v9,This seems unrealistic.
v9,I appreciate the honesty here.
v9,This is actually very relatable.
v9,This looks expensive.
v9,This inspired me a lot.
v9,I love how authentic this feels.
v9,This seems unrealistic.
v9,What camera do you use?
v9,This motivates me to improve my routine.
v9,Your structure is very clear.
v9,This feels realistic and doable.
v9,Can you show a weekend version?
v9,Too many ads lately.
v9,This is actually very relatable.
v9,This motivates me to improve my routine.
v9,Your structure is very clear.
v9,How long does this take?
v9,Your structure is very clear.
v9,Do you have a template?
v9,This feels too sponsored.
v9,More content like this please.
v9,What camera do you use?
v9,The intro is too long.
v9,Can you share more details?
v9,I love how authentic this feels.
v9,This feels too sponsored.
v9,What time do you usually start?
v9,You could go deeper into this.
v9,What time do you usually start?
v9,This looks expensive.
v9,More content like this please.
v9,This feels realistic and doable.
v9,What time do you usually start?
v9,This motivates me to improve my routine.
v9,I appreciate the honesty here.
v9,The intro is too long.
v9,What camera do you use?
v9,Your structure is very clear.
v9,I have a question about this.
v9,More content like this please.
v9,This inspired me a lot.
v9,This looks expensive.
v9,Can you share more details?
v9,Your editing style is so calming.
v9,It feels repetitive.
v9,I like how simple you keep things.
v10,I have a question about this.
v10,This looks expensive.
v10,This feels realistic and doable.
v10,This feels too sponsored.
v10,I expected more explanation.
v10,Please make a part two.
v10,Do you have a template?
v10,This seems unrealistic.
v10,Do you have a template?
v10,It feels repetitive.
v10,The pacing is perfect.
v10,You could go deeper into this.
v10,What time do you usually start?
v10,I love how authentic this feels.
v10,I love how authentic this feels.
v10,The intro is too long.
v10,Can you show a weekend version?
v10,Too many ads lately.
v10,The pacing is perfect.
v10,I have a question about this.
v10,I appreciate the honesty here.
v10,Can you show a weekend version?
v10,Your structure is very clear.
v10,More content like this please.
v10,This feels realistic and doable.
v10,Your structure is very clear.
v10,I like how simple you keep things.
v10,Can you link the products?
v10,You could go deeper into this.
v10,This inspired me a lot.
v10,This feels too sponsored.
v10,I appreciate the honesty here.
v10,This inspired me a lot.
v10,The intro is too long.
v10,What time do you usually start?
v10,I have a question about this.
v10,I wish you showed more detail.
v10,Can you show a weekend version?
v10,Can you link the products?
v10,This feels too sponsored.
v10,I appreciate the honesty here.
v10,How long does this take?
v10,It feels repetitive.
v10,I have a question about this.
v10,This looks expensive.
v10,What time do you usually start?
v10,Not practical for most people.
v10,This is actually very relatable.
v10,Your structure is very clear.
v10,Not practical for most people.
